version,Name,God_Class,Lazy_Class,Complex_Class,Large_Class,Refused_Request,Data_Class,Feature_Envy,Brain_Class,Hub_Like_Dependency,Class_Cyclic_Dependency,Unhealthy_Inheritance_Hierarchy,Long_Method,Long_Parameter_List,Shotgun_Surgery,Brain_Method,Unstable_Dependency,Package_Cyclic_Dependency,Total,Distinct_Count,Vulnerability
6.0.0,android.view.RenderNode,0,0,0,1,0,0,0,0,1,0,0,7,52,0,0,0,0,61,4,
6.0.0,android.os.PooledStringWriter,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,1,7,4,
6.0.0,android.net.EthernetManager,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,1,0,10,4,
6.0.0,android.net.IpConfiguration,0,0,0,0,0,1,0,0,0,0,0,7,8,0,0,1,0,17,4,
6.0.0,android.graphics.PathDashPathEffect_Delegate,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,3,
6.0.0,com.android.layoutlib.bridge.impl.DelegateManager,0,0,0,0,0,1,0,0,0,0,0,3,3,3,0,0,0,10,4,
6.0.0,android.graphics.PathEffect_Delegate,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,4,4,
6.0.0,android.graphics.Paint_Delegate,0,0,0,1,0,0,1,0,1,0,0,68,86,0,0,1,0,158,6,
6.0.0,android.view.MotionEvent.PointerCoords,0,0,1,0,0,1,0,0,0,0,0,5,5,0,0,0,0,12,4,
6.0.0,android.view.MotionEvent.PointerProperties,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,8,3,
6.0.0,android.graphics.Matrix,0,0,0,1,0,0,0,0,0,0,0,15,51,12,0,1,0,80,5,
6.0.0,android.view.InputEvent,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,7,3,
6.0.0,android.view.InputDevice,0,0,0,1,0,0,1,0,0,0,0,8,17,0,0,0,0,27,4,
6.0.0,android.view.KeyEvent,0,0,1,1,1,0,1,0,0,0,0,31,65,10,0,0,0,110,7,
6.0.0,android.widget.gridview.GridSimple,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,5,3,
6.0.0,android.graphics.drawable.PaintDrawable,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,1,0,7,4,
6.0.0,android.view.ViewGroup,1,0,1,1,0,0,1,0,0,0,1,190,230,28,0,0,0,453,8,
